,0,1,2,3,4,5,6,7,8
0,0.0,0.0,0.0,0.0,0.0,0.0,2.538120791931549e-05,-2.7085606391804807e-05,1.2665348709404147e-05
1,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.25
2,0.0,0.0,2.0,0.0,0.0,0.5,-4.5480930187781874e-05,1.833331719195221e-05,0.49997779559132643
3,0.0,0.0,3.0,0.0,0.0,0.75,-0.00012754933564081578,6.571568252819555e-06,0.7499770973630763
4,0.0,0.0,4.0,0.0,0.0,1.0,-0.00015690435940574762,-2.4319940823594394e-05,0.9999914121012782
5,0.0,1.0,0.0,0.0,0.25,0.0,-1.0874643618290396e-05,0.24995288931755089,3.286689250669656e-05
6,0.0,1.0,2.0,0.0,0.25,0.5,0.0,0.25,0.5
7,0.0,1.0,4.0,0.0,0.25,1.0,-0.00016212826868091418,0.24999718714138427,1.000000809955196
8,0.0,2.0,0.0,0.0,0.5,0.0,-1.9500504138354265e-05,0.4999246719015144,2.271869161232052e-05
9,0.0,2.0,1.0,0.0,0.5,0.25,0.0,0.5,0.25
10,0.0,2.0,2.0,0.0,0.5,0.5,-1.8671253139294348e-05,0.5000103092630648,0.4999857861656887
11,0.0,2.0,3.0,0.0,0.5,0.75,-8.081096141847777e-05,0.50000951052054,0.7499941278147153
12,0.0,2.0,4.0,0.0,0.5,1.0,-0.00011867944631437706,0.5000161388636527,0.9999920980689503
13,0.0,3.0,0.0,0.0,0.75,0.0,-1.5292314019712118e-05,0.7499231633200912,1.9367975107912377e-05
14,0.0,3.0,2.0,0.0,0.75,0.5,0.0,0.75,0.5
15,0.0,3.0,4.0,0.0,0.75,1.0,-0.00010071803934152637,0.7500380985063845,0.9999863033173203
16,0.0,4.0,0.0,0.0,1.0,0.0,2.5569239091356467e-06,0.9999117163781704,2.144744249354469e-06
17,0.0,4.0,1.0,0.0,1.0,0.25,0.0,1.0,0.25
18,0.0,4.0,2.0,0.0,1.0,0.5,-9.399870697476062e-06,1.00000453930986,0.49996466335243384
19,0.0,4.0,3.0,0.0,1.0,0.75,2.4794353553238064e-05,1.0000225960443891,0.7499528571975996
20,0.0,4.0,4.0,0.0,1.0,1.0,-5.706183500651478e-05,1.000049580076937,0.9999379139231007
21,1.0,0.0,0.0,0.25,0.0,0.0,0.25001087712763037,-1.6634830681938048e-05,1.3599571898930807e-05
